
beta: (0.020958,1e-006)

-1.88726e-008+4.1916e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000180711+0.000482548i, 0+0i, 1.16595e-015+5.24965e-016i, 0.000133195+0.0035909i, -0+0i, -0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, -1.86688e-008+4.14145e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -8.3832e-009+-3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.66078e-008+-3.76513e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 8.3832e-009+3.77452e-009i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, -1.86688e-008+4.14145e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -8.3832e-009+-3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.66078e-008+-3.76513e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 8.3832e-009+3.77452e-009i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -0+-0i, 1.98573e-010+8.94073e-011i, 15.7532+424.701i, -0+0i, 27.9428+-428.535i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.78815e-011+3.97147e-011i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.7837e-010+-7.86782e-011i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -0+0i, 1.78815e-011+-3.97147e-011i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.39914e-015+-6.29958e-016i, -0.000110996+-0.00299242i, 0+0i, -0+-0i, -0.000196884+0.00301943i, -0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.25992e-016+-2.79827e-016i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.25678e-015+5.54362e-016i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.25992e-016+2.79827e-016i, -0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.11258e-016+5.01e-017i, 3.80995e-012+-1.42708e-012i, -20.958+-0.001i, -20.958+-0.001i, -8.27971e-011+7895.68i, 5.03526e-009+-7895.68i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000180742+0.000482536i, 1.11258e-016+5.01e-017i, 5.85388e-016+-0.0556325i, -3.54774e-014+0.0556325i, -20.958+-0.001i, -20.958+-0.001i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -2.26471e-008+5.02992e-008i, -1.57272e-008+3.493e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 7.54904e-010+-1.67664e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.64982e-010+1.40717e-010i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.49323e-020+-1.45774e-020i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -2.26471e-008+5.02992e-008i, -1.57272e-008+3.493e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 7.54904e-010+-1.67664e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.64982e-010+1.40717e-010i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.49323e-020+-1.45774e-020i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 20.958+0.001i, 14.5542+0.000694444i, 1.37189e-010+-7895.68i, -4.21119e-009+5483.11i, -17.465+-0.000833333i, 6.25178e-009+-6579.74i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -0.6986+-3.33333e-005i, -3.55836e-011+263.189i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.00742247+-0.113748i, -42.8535+-2.79428i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -2.72132e-012+7.44677e-012i, 2.80553e-009+1.02509e-009i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -9.66626e-016+0.0556325i, 2.96718e-014+-0.0386337i, 20.958+0.001i, 14.5542+0.000694444i, -4.40514e-014+0.0463604i, -17.465+-0.000833333i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.5072e-016+-0.00185442i, -0.6986+-3.33333e-005i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000301943+1.96884e-005i, 0.00742247+-0.113748i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.97676e-014+-7.22272e-015i, -2.72132e-012+7.44677e-012i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.11258e-016+-5.01e-017i, 3.80995e-012+-1.42708e-012i, 20.958+0.001i, 20.958+0.001i, -8.27971e-011+7895.68i, 5.03526e-009+-7895.68i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000180742+0.000482536i, -1.11258e-016+-5.01e-017i, 5.85388e-016+-0.0556325i, -3.54774e-014+0.0556325i, 20.958+0.001i, 20.958+0.001i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.49323e-020+-1.45774e-020i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.64982e-010+1.40717e-010i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 7.54904e-010+-1.67664e-009i, 0+0i, 0+0i, 0+0i, -2.26471e-008+5.02992e-008i, -1.57272e-008+3.493e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.49323e-020+-1.45774e-020i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.64982e-010+1.40717e-010i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 7.54904e-010+-1.67664e-009i, 0+0i, 0+0i, 0+0i, 0+0i, -2.26471e-008+5.02992e-008i, -1.57272e-008+3.493e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.72132e-012+-7.44677e-012i, 2.80553e-009+1.02509e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -0.00742247+0.113748i, -42.8535+-2.79428i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.6986+3.33333e-005i, -3.55836e-011+263.189i, 0+0i, 0+0i, -20.958+-0.001i, -14.5542+-0.000694444i, 1.37189e-010+-7895.68i, -4.21119e-009+5483.11i, 17.465+0.000833333i, 6.25178e-009+-6579.74i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.97676e-014+-7.22272e-015i, 2.72132e-012+-7.44677e-012i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000301943+1.96884e-005i, -0.00742247+0.113748i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 2.5072e-016+-0.00185442i, 0.6986+3.33333e-005i, 0+0i, 0+0i, -9.66626e-016+0.0556325i, 2.96718e-014+-0.0386337i, -20.958+-0.001i, -14.5542+-0.000694444i, -4.40514e-014+0.0463604i, 17.465+0.000833333i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 3.81005e-012+-1.42684e-012i, -0+0i, -0+0i, -1.65478e-010+-7.45061e-011i, -18.9038+-509.641i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0.000180711+0.000482548i, 0+0i, 1.16595e-015+5.24965e-016i, 0.000133195+0.0035909i, -0+0i, -0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 8.3832e-009+3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.66078e-008+-3.76513e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -8.3832e-009+-3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, -1.86688e-008+4.14145e-008i, 0+0i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 8.3832e-009+3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 1.66078e-008+-3.76513e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -8.3832e-009+-3.77452e-009i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, -1.88726e-008+4.1916e-008i, -1.86688e-008+4.14145e-008i, 0+0i, 1.88726e-008+-4.1916e-008i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 0+0i, 
